term,name,ename,sex,party,partyGroup,areaName,committee,onboardDate,degree,tel,experience,fax,addr,picUrl,leaveFlag,leaveDate,leaveReason,
11,吳秉叡,WuPing-Jui,男,民主進步黨,民主進步黨,新北市第4選舉區,第11屆第1會期：財政委員會;第11屆第2會期：財政委員會;,2024/02/01,士林國小;士林國中;成功高中;國立政治大學法律系法學組學士;國立政治大學法律研究所碩士,國會研究室：02-2358-6851;新北總服務處：02-8522-5786;大新莊服務處：02-2276-8287;福營服務處：02-2208-3852,野百合學運政大學生代表司法官訓練所29期臺東地方法院法官臺灣司法改革連線成員律師凱達格蘭學校國策班第1期臺北縣政府縣長機要秘書第6屆立法委員民進黨臺北縣、新北市黨部主委第8屆立法委員第8屆第4、5會期黨團書記長第9屆立法委員第9屆第1、2會期黨團幹事長第10屆立法委員第11屆立法委員,國會研究室：02-2358-6859;新北總服務處：02-8522-5726;大新莊服務處：02-2277-5657;福營服務處：02-2208-3853,國會研究室：100224台北市中正區濟南路1段3之1號0902室;新北總服務處：242043新北市新莊區化成路814巷1號;大新莊服務處：242026新北市新莊區中榮街17號;福營服務處：242051新北市新莊區後港一路130巷17號1樓,http://www.ly.gov.tw//Images/Legislators/110013.jpg,否,,,
11,吳思瑤,WuSzu-Yao,女,民主進步黨,民主進步黨,臺北市第1選舉區,第11屆第1會期：司法及法制委員會;第11屆第2會期：司法及法制委員會;,2024/02/01,台灣大學政治學研究所碩士;輔仁大學西語系、日語系文學雙學士,國會研究室：02-2358-8131;北投服務處：02-2820-5800,第九、十屆立法委員第十、十一、十二屆台北市議員民進黨發言人民進黨中執委、中評委、中常委2010美國國務院政治菁英領袖計劃台灣政界代表台灣女子棒球運動推廣協會榮譽理事長國立臺北藝術大學文化資產與藝術創新博士班,國會研究室：02-2358-8135;北投服務處：02-2820-3500,國會研究室：100221台北市中正區青島東路1號3108室;北投服務處：112059臺北市北投區承德路七段196號,http://www.ly.gov.tw//Images/Legislators/110014.jpg,否,,,
11,吳春城,WUCHUN-CHENG,男,台灣民眾黨,台灣民眾黨,全國不分區及僑居國外國民,第11屆第1會期：教育及文化委員會;第11屆第2會期：教育及文化委員會;,2024/02/01,復旦大學管理學博士;中山大學法學碩士;中央大學文學士,國會研究室：02-2358-8116,壯世代教科文協會理事長馬偕醫學院暨馬偕醫護專校董事戰國策傳播集團創辦人世新大學兼任副教授台灣國際公共關係協會理事長復旦大學台灣校友會理事長2023台灣廣告業卓越貢獻獎2023亞洲年度品牌金獎得獎人2022獲選公關影響力人物國立中央大學傑出校友,國會研究室：02-2358-8120,國會研究室：100224台北市中正區濟南路1段3之1號2103室,http://www.ly.gov.tw//Images/Legislators/110015.jpg,否,,,
11,吳琪銘,wuchi-ming,男,民主進步黨,民主進步黨,新北市第10選舉區,第11屆第1會期：內政委員會;第11屆第2會期：內政委員會;,2024/02/01,世新大學企業管理學系碩士,國會研究室：02-2358-6316;土城服務處：02-2270-1580;三峽服務處：02-2673-2636,立法院民進黨團副書記長                 新北市消防局義勇消防隊第五大隊大隊長    新北市雲林同鄉會總召集人               新北市慢速壘球委員會理事長新北市礦工協會榮譽理事長大漢溪文教基金會常務董事新北市議員台北縣議員任務型國大代表土城市市民代表,國會研究室：02-2358-6320;土城服務處：02-2270-0802;三峽服務處：02-8671-6968,國會研究室：100224台北市中正區濟南路1段3之1號0606室;土城服務處：236003新北市土城區金城路三段172-1號;三峽服務處：237001新北市三峽區中正路一段212號,http://www.ly.gov.tw//Images/Legislators/110016.jpg,否,,,
11,呂玉玲,LUYU-LING,女,中國國民黨,中國國民黨,桃園市第5選舉區,第11屆第1會期：經濟委員會;第11屆第2會期：經濟委員會;,2024/02/01,中原大學商學院企業管理學系碩士;桃園創新技術學院企業管理系;育達商職;中壢國中;中壢國小,國會研究室：02-2358-6836;平鎮服務處：03-401-5616;龍潭服務處：03-409-6688,第八、九、十屆立法委員珍珠國際同濟會第十屆會長婦聯青溪桃園縣支會主委桃園市守望相助大隊平鎮中隊中隊長國立中央大學客家書院執行委員平鎮市社區營造協會理事長平鎮市體育會理事長桃園縣平鎮市婦女會理事長,國會研究室：02-2358-6840;平鎮服務處：03-401-0616;龍潭服務處：03-409-7899,國會研究室：100224台北市中正區濟南路1段3之1號0903室;平鎮服務處：324008桃園市平鎮區復興街68號;龍潭服務處：325012桃園市龍潭區華南路一段135號,http://www.ly.gov.tw//Images/Legislators/110017.jpg,否,,,
11,李坤城,LEE KUEN-CHENG,男,民主進步黨,民主進步黨,新北市第3選舉區,第11屆第1會期：財政委員會;第11屆第2會期：財政委員會;,2024/02/01,政治大學社會學研究所碩士;政治大學公共行政系法學學士;台北市立建國中學,國會研究室：02-2358-6541;三重服務處：02-2282-3889,新北市議會第1、2、3屆市議員台灣大學博士候選人美國國務院邀請國際領袖人才參訪計畫訪問學人（IVLP）新北市議會民進黨黨團總召行政院院長室專門委員綠色和平電台主持人,國會研究室：02-2358-6735;三重服務處：02-2283-3438,國會研究室：100224台北市中正區濟南路1段3之1號1001室;三重服務處：24154新北巿三重區忠孝路一段153號,http://www.ly.gov.tw//Images/Legislators/110018.jpg,否,,,
11,李昆澤,LeeKun-Tse,男,民主進步黨,民主進步黨,高雄市第5選舉區,第11屆第1會期：交通委員會;第11屆第2會期：交通委員會;,2024/02/01,國立中山大學政治學碩士;輔仁大學歷史系,國會研究室：02-2358-6086;高雄服務處：07-386-8292,公督盟評鑑連續22個會期優秀立委蔡英文主席特助陳定南立委特助第六、八、九、十屆立法委員第六屆高雄市議員第三屆國大代表高雄縣政府新聞室主任高雄科技大學國際企業系博士班（在學中）台灣人權促進會總幹事台灣人權雜誌總主筆台灣環保聯盟幹事電器維修工成衣廠縫紉機維修工,國會研究室：02-2358-6090;高雄服務處：07-386-3277,國會研究室：100224台北市中正區濟南路1段3之1號0306室;高雄服務處：807043高雄市三民區大昌二路63號,http://www.ly.gov.tw//Images/Legislators/110019.jpg,否,,,
11,李彥秀,LEE YEN HSIU,女,中國國民黨,中國國民黨,臺北市第4選舉區,第11屆第1會期：財政委員會;第11屆第2會期：財政委員會;,2024/02/01,南港國小;誠正國中;靜修女中;美國加州爾灣大學經濟系,國會研究室：02-2358-6231,美國加州斐伯坦大學企管所研究臺北市議會第八、九、十、十一、十二、十四屆市議員台北市議會國民黨黨團書記長立法院第九屆立法委員立法院中國國民黨黨團書記長中國國民黨婦女部主任中國國民黨副秘書長中國國民黨文化傳播委員會,國會研究室：02-2358-6340,國會研究室：100221台北市中正區青島東路1號3406室,http://www.ly.gov.tw//Images/Legislators/110020.jpg,否,,,
11,李柏毅,Lee Po Yi,男,民主進步黨,民主進步黨,高雄市第3選舉區,第11屆第1會期：內政委員會;第11屆第2會期：內政委員會;,2024/02/01,國立高雄大學高階經營管理碩士;私立東海大學社會科學院政治學系學士,國會研究室：02-2358-6121;左營服務處：07-350-9123;楠梓服務處：07-360-0681,高雄市議會第二、三、四屆市議員高雄市陳菊市長辦公室主任立法院國會助理國立高雄師範大學科學教育暨環境教育研究所博士候選人,國會研究室：02-2358-6315;左營服務處：07-349-2566;楠梓服務處：07-360-0581,國會研究室：100224台北市中正區濟南路1段3之1號0803室;左營服務處：813015高雄巿左營區新莊一路9號;楠梓服務處：811006高雄巿楠梓區三山街91號,http://www.ly.gov.tw//Images/Legislators/110021.jpg,否,,,
11,沈伯洋,SHENPAO-YANG,男,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第11屆第1會期：外交及國防委員會;第11屆第1會期：程序委員會;第11屆第1會期：經費稽核委員會;第11屆第2會期：外交及國防委員會;第11屆第2會期：程序委員會;第11屆第2會期：經費稽核委員會;,2024/02/01,加州大學爾灣分校犯罪與法律社會學博士;賓州大學法學碩士;台大法律法學碩士,國會研究室：02-2358-8296,台北大學犯罪學研究所副教授台灣民主實驗室理事長黑熊學院院長台灣人權促進會執行委員律師,國會研究室：02-2358-8300,國會研究室：100224台北市中正區濟南路1段3之1號0207室,http://www.ly.gov.tw//Images/Legislators/110022.jpg,否,,,
11,沈發惠,SHENFA-HUI,男,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第11屆第1會期：司法及法制委員會;第11屆第1會期：程序委員會;第11屆第2會期：司法及法制委員會;第11屆第2會期：程序委員會;,2024/02/01,東海大學法律系;台大政治學碩士,國會研究室：02-2358-6176;汐止服務處：02-2648-1647,野百合學運決策小組成員第十四、十五屆台北縣議員第六屆立法委員第一、二屆新北市議員民進黨中常委第十屆立法委員,國會研究室：02-2358-6180;汐止服務處：02-2643-3105,國會研究室：100224台北市中正區濟南路1段3之1號0302室;汐止服務處：221020新北巿汐止區民族二街84巷56號,http://www.ly.gov.tw//Images/Legislators/110023.jpg,否,,,
11,林月琴,LIN YUEH CHIN,女,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第11屆第1會期：社會福利及衛生環境委員會;第11屆第1會期：程序委員會;第11屆第2會期：社會福利及衛生環境委員會;第11屆第2會期：程序委員會;,2024/02/01,中央警察大學犯罪防治所博士;輔仁大學社會工作研究所碩士;文化大學家政研究所碩士;具有兒童、少年、婦女及家庭專科社會工作師證照,國會研究室：02-2358-6281,財團法人靖娟兒童安全文教基金會執行長社團法人臺灣兒童權益聯盟副理事長社團法人台灣少年權益與福利促進聯盟理事長東吳大學社會工作學系兼任助理教授,國會研究室：02-2358-6285,國會研究室：100224台北市中正區濟南路1段3之1號2119室,http://www.ly.gov.tw//Images/Legislators/110024.jpg,否,,,
11,林沛祥,LIN  PEI-HSIANG,男,中國國民黨,中國國民黨,基隆市選舉區,第11屆第1會期：交通委員會;第11屆第2會期：交通委員會;,2024/02/01,國立清華大學	博士後研究;拉文大學	公共行政	博士	;南加州大學 公共行政碩士,國會研究室：02-2358-6306,基隆市議會 副議長						國立臺灣海洋大學 講師				國立臺北科技大學	兼任助理	教授基隆港分公司	研究員					臺灣民主基金會	國際組主任,國會研究室：02-2358-6994,國會研究室：100224台北市中正區濟南路1段3之1號0503室,http://www.ly.gov.tw//Images/Legislators/110025.jpg,否,,,
11,林宜瑾,LINI-CHIN,女,民主進步黨,民主進步黨,臺南市第4選舉區,第11屆第1會期：教育及文化委員會;第11屆第2會期：教育及文化委員會;,2024/02/01,成功大學政治經濟學碩士;東吳大學社會學系;家齊女中,國會研究室：02-2358-8316;永康服務處：06-233-9399,立法院第十屆立法委員台南縣市六屆議員及議會黨團總召民進黨中常委、中執委台南市醫師公會、牙醫師公會、中醫師公會顧問台南市教師會、教育產業工會、環保局工會顧問台南市身心障礙者體育協會創會理事長台南市卡巴迪委員會創會主任委員台南市電子競技委員會創會主任委員台南市慢速壘球協會理事長賴清德國大代表服務處主任野百合學運校際代表,國會研究室：02-2358-8320;永康服務處：06-233-9441,國會研究室：100224台北市中正區濟南路1段3之1號0806室;永康服務處：710031台南市永康區中山南路473號,http://www.ly.gov.tw//Images/Legislators/110026.jpg,否,,,
11,林岱樺,Daihua Lin,女,民主進步黨,民主進步黨,高雄市第4選舉區,第11屆第1會期：經濟委員會;第11屆第2會期：經濟委員會;,2024/02/01,私立輔仁大學德文系畢業;美國威斯康辛大學大眾傳播碩士;德國卡賽爾綜合大學德語教學研究結業;台北大學企管博士班研究,國會研究室：02-2358-8021;大寮服務處：07-781-8117,第五、六、七、八、九、十屆立法委員行政院青輔會主委民進黨第10、11屆中央執行委員民進黨第14屆中央評議委員,國會研究室：02-2358-8030;大寮服務處：07-781-8167,國會研究室：100224台北市中正區濟南路1段3之1號0706室;大寮服務處：831140高雄市大寮區力行路61號,http://www.ly.gov.tw//Images/Legislators/110027.jpg,否,,,
11,林俊憲,Lin Chun-Hsien,男,民主進步黨,民主進步黨,臺南市第5選舉區,第11屆第1會期：交通委員會;第11屆第2會期：交通委員會;,2024/02/01,日新國小;大成國中;台南一中畢業;國立成功大學企管系畢業;美國密蘇里大學企管碩士(U of Missouri-MBA),國會研究室：02-2358-6931;中西區服務處：06-299-8266;東區服務處：06-209-1120,臺南市第14、15、16屆市議員賴清德競選臺南市長執行總幹事民主進步黨中央黨部發言人民主進步黨中執委立法院第九屆立法委員立法院第十屆立法委員,國會研究室：02-2358-6935;中西區服務處：06-299-8286;東區服務處：06-209-1150,國會研究室：100224臺北市中正區濟南路一段3之1號1006室;中西區服務處：700021臺南市中西區永華路一段305號;東區服務處：701024臺南市東區裕農路315號,http://www.ly.gov.tw//Images/Legislators/110028.jpg,否,,,
11,林思銘,LINSZU-MING,男,中國國民黨,中國國民黨,新竹縣第2選舉區,第11屆第1會期：司法及法制委員會;第11屆第1會期：程序委員會;第11屆第2會期：司法及法制委員會;第11屆第2會期：程序委員會;,2024/02/01,台灣大學PMLBA碩士班;文化大學法律研究所;東吳大學法律系（78級司法實務組）;新竹縣立二重國民中學;新竹縣立竹中國民小學,國會研究室：02-2358-8226;竹東服務處：03-510-3435;竹北服務處：03-558-7725,第10屆新竹縣第二選區立法委員新竹縣第15、16、17、18、19屆議員(2002～2019)明典法律事務所所長律師擔任律師時期獲頒台灣省政府優良律師,國會研究室：02-2358-8230;竹東服務處：03-511-0231;竹北服務處：03-551-3106,國會研究室：100224台北市中正區濟南路1段3之1號0502室;竹東服務處：310新竹縣竹東鎮杞林路76號1樓;竹北服務處：302新竹縣竹北市縣政二路南段119號,http://www.ly.gov.tw//Images/Legislators/110029.jpg,否,,,
11,林倩綺,Lin Chien-Chi,女,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第11屆第1會期：教育及文化委員會;第11屆第1會期：經費稽核委員會;第11屆第2會期：教育及文化委員會;第11屆第2會期：程序委員會;第11屆第2會期：經費稽核委員會;,2024/02/01,華盛頓大學博士;波士頓音樂學院碩士,國會研究室：02-2358-6377,新北市政府文化局新北市原民局局長高雄縣政府文化局局長考試院典試委員南華大學助理教授,國會研究室：02-2358-6380,國會研究室：100224台北市中正區濟南路1段3之1號2102室,http://www.ly.gov.tw//Images/Legislators/110030.jpg,否,,,
11,林國成,LinKuo-Chen,男,台灣民眾黨,台灣民眾黨,全國不分區及僑居國外國民,第11屆第1會期：交通委員會;第11屆第1會期：程序委員會;第11屆第2會期：交通委員會;第11屆第2會期：程序委員會;,2024/02/01,環球科技大學中小企業經營策略研究所碩士,國會研究室：02-2358-6222,臺北市總工會理事長全國勞工聯合總工會榮譽理事長第10.11.12.13屆臺北市議員,國會研究室：02-2358-6225,國會研究室：100221台北市中正區青島東路1號3302室,http://www.ly.gov.tw//Images/Legislators/110031.jpg,否,,,
11,林淑芬,Lin Shu-Fen,女,民主進步黨,民主進步黨,新北市第2選舉區,第11屆第1會期：社會福利及衛生環境委員會;第11屆第2會期：社會福利及衛生環境委員會;,2024/02/01,彰化女中;中興法商社會系;世新大學社會發展研究所,國會研究室：02-2358-8186;蘆洲服務處：02-8285-6412;五股服務處：02-2291-2995,第十四、十五屆台北縣議員第六、七、八、九、十屆立法委員,國會研究室：02-2358-8190;蘆洲服務處：02-2281-7980;五股服務處：02-2291-2355,國會研究室：100221台北市中正區青島東路1號3202室;蘆洲服務處：247012新北市蘆洲區長興路25號;五股服務處：248007新北市五股區民義路一段37號,http://www.ly.gov.tw//Images/Legislators/110032.jpg,否,,,
11,林楚茵,LIN CHU YIN,女,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第11屆第1會期：外交及國防委員會;第11屆第1會期：程序委員會;第11屆第2會期：外交及國防委員會;第11屆第2會期：程序委員會;,2024/02/01,東吳大學政治系,國會研究室：02-2358-6526,環球電視台、中天電視台、ETToday、TVBS記者集智館公關公司專案經理三立新聞政治中心副主任、採訪中心副主任三立前進新台灣節目主持人,國會研究室：02-2358-6530,國會研究室：100224台北市中正區濟南路1段3之1號0802室,http://www.ly.gov.tw//Images/Legislators/110033.jpg,否,,,
11,林德福,LIN TE FU,男,中國國民黨,中國國民黨,新北市第9選舉區,第11屆第1會期：財政委員會;第11屆第2會期：財政委員會;,2024/02/01,臺北縣立頂溪國小畢業;臺灣省立板橋中學畢業;私立開南高級商工職業學校畢業,國會研究室：02-2358-6995;永和服務處：02-2232-9899,台北縣永和市市民代表、代表會副主席台北縣永和市市長新店高中文教基金會董事長國立政治大學法律實務班結業開南大學副董事長中華民國第五、六、七、八、九、十屆立法委員中國國民黨副秘書長、立法院黨團書記長立法院第九屆第四、五會期中國國民黨黨團總召兼政策會執行長,國會研究室：02-2358-6999;永和服務處：02-3233-4625,國會研究室：100221台北市中正區青島東路1號3201室;永和服務處：234012新北市永和區永和路二段403號,http://www.ly.gov.tw//Images/Legislators/110034.jpg,否,,,
11,林憶君,LINYI-CHUN,女,台灣民眾黨,台灣民眾黨,全國不分區及僑居國外國民,第11屆第1會期：外交及國防委員會;第11屆第2會期：外交及國防委員會;,2024/02/01,大仁科技大學製藥科技研究所碩士;嘉南藥理大學藥學系(原嘉南藥專),國會研究室：02-2358-8181,中華民國藥師公會全國聯合會秘書長、副秘書長花蓮縣藥師公會理事長大仁科技大學校友總會理事,國會研究室：02-2358-8185,國會研究室：100224台北市中正區濟南路1段3之1號0905室,http://www.ly.gov.tw//Images/Legislators/110035.jpg,否,,,
